,Column1,NAME,NUMBER OF COURSES,companyname,coursetype,URL2,Column5
168,394,Developing Industrial Internet of Things,3.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/developing-industrial-iot,
169,213,Developing Your Musicianship,4.0,Berklee College of Music,SPECIALIZATION,https://www.coursera.org/specializations/musicianship-specialization,
170,486,Development of Secure Embedded Systems,4.0,EIT Digital,SPECIALIZATION,https://www.coursera.org/specializations/embedded-systems-security,
171,435,Differential Calculus through Data and Modeling,4.0,Johns Hopkins University,SPECIALIZATION,https://www.coursera.org/specializations/differential-calculus-data-modeling,
172,419,Digital Advertising Strategy,4.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/digital-advertising-strategy,
173,590,Digital Business,4.0,Institut Mines-Télécom,SPECIALIZATION,https://www.coursera.org/specializations/digital-business,
174,510,Digital Health,3.0,Imperial College London,SPECIALIZATION,https://www.coursera.org/specializations/digitalhealth,
175,378,Digital Manufacturing & Design Technology,9.0,University at Buffalo,SPECIALIZATION,https://www.coursera.org/specializations/digital-manufacturing-design-technology,
176,34,Digital Marketing,7.0,University of Illinois at Urbana-Champaign,SPECIALIZATION,https://www.coursera.org/specializations/digital-marketing,
177,459,Digital Marketing Strategy and Planning,3.0,Digital Marketing Institute,SPECIALIZATION,https://www.coursera.org/specializations/digital-marketing-strategy-planning,
178,31,Digital Product Management,5.0,University of Virginia,SPECIALIZATION,https://www.coursera.org/specializations/uva-darden-digital-product-management,
179,292,Digital Signal Processing,4.0,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,https://www.coursera.org/specializations/digital-signal-processing,
180,618,Digital Technologies and the Future of Manufacturing,3.0,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/digital-technologies-future-of-manufacturing,
181,279,Digital Transformation in Financial Services,4.0,Copenhagen Business School,SPECIALIZATION,https://www.coursera.org/specializations/digital-transformation-financial-services,
182,275,Digital Transformation Using AI/ML with Google Cloud,3.0,Google Cloud,SPECIALIZATION,https://www.coursera.org/specializations/digital-transformation-using-ai-ml-with-google-cloud,
183,395,Digitalisation in Aeronautics and Space,3.0,Technische Universität München (TUM),SPECIALIZATION,https://www.coursera.org/specializations/aerospace,
184,529,Diseño y Creación de videojuegos,6.0,Universitat Autònoma de Barcelona,SPECIALIZATION,https://www.coursera.org/specializations/diseno-videojuegos,
185,216,Django for Everybody,4.0,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/django,
186,578,Doing Business in China,4.0,The Chinese University of Hong Kong,SPECIALIZATION,https://www.coursera.org/specializations/doing-business-in-china,
